lead_id,nicho,porte,funcionarios,cargo,engajamento,respondeu,comprou,score_final,qualificacao
1,tecnologia,media,50,CTO,85,sim,sim,92,quente
2,marketing,pequena,15,CEO,72,sim,nao,68,morno
3,financeiro,grande,200,Diretor,91,sim,sim,88,quente
4,ecommerce,media,35,Head,45,nao,nao,42,frio
5,saude,grande,500,VP,78,sim,sim,85,quente
6,educacao,pequena,8,Coordenador,30,nao,nao,35,frio
7,varejo,media,40,Gerente,65,sim,nao,62,morno
8,consultoria,pequena,12,Socio,88,sim,sim,90,quente
9,imobiliaria,media,25,Diretor,55,sim,nao,58,morno
10,industria,grande,300,CEO,40,nao,nao,38,frio
11,tecnologia,pequena,10,CTO,92,sim,sim,95,quente
12,marketing,media,30,Head,60,sim,nao,65,morno
13,financeiro,pequena,5,Analista,20,nao,nao,25,frio
14,saude,media,45,Diretor,75,sim,sim,82,quente
15,ecommerce,grande,150,VP,82,sim,sim,87,quente
16,educacao,media,35,Gerente,50,sim,nao,55,morno
17,varejo,pequena,8,Dono,25,nao,nao,28,frio
18,consultoria,grande,100,Socio,95,sim,sim,98,quente
19,tecnologia,media,60,Head,70,sim,nao,72,morno
20,marketing,grande,200,Diretor,88,sim,sim,91,quente
